benchmark_id,benchmark_family,granularity,semantic_label_mode,rollback_split_condition,method_id,compiler,compiler_id,opt_level,profile_condition,status,error_message,comparison_sites,worst_case_depth,expected_depth,accept_predicate_num_intervals,accept_predicate_comparison_sites,accept_predicate_worst_case_depth,accept_predicate_expected_depth,rollbackacc_predicate_num_intervals,rollbackacc_predicate_comparison_sites,rollbackacc_predicate_worst_case_depth,rollbackacc_predicate_expected_depth,throughput_bytes_per_sec
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_O2,-O2,same_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,164967821.31942976
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_O3,-O3,same_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,169628570.97985017
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_Os,-Os,same_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,151279877.7744598
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_O2,-O2,same_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,5745085106382.9795
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_O3,-O3,same_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,5869978260869.565
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_Os,-Os,same_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,228702324.21439925
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_O2,-O2,same_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,164802997.98283118
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_O3,-O3,same_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,169540702.6025806
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_Os,-Os,same_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,152871200.3564479
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_O2,-O2,same_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,5400380000000.0
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_O3,-O3,same_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,5625395833333.333
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_Os,-Os,same_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,209913436.2355063
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_O2,-O2,same_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,150007222.06173196
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_O3,-O3,same_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,169971220.23195034
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_Os,-Os,same_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,141485429.5981363
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_O2,-O2,same_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,4821767857142.857
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_O3,-O3,same_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,5192673076923.077
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_Os,-Os,same_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,215005876.41376323
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_O2,-O2,same_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,147931866.2811943
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_O3,-O3,same_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,168524886.87782806
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_Os,-Os,same_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,141411998.95886195
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_O2,-O2,same_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,4909436363636.363
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_O3,-O3,same_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,5192673076923.077
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_Os,-Os,same_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,218367984.00688377
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_O2,-O2,same_B,completed,,0,0,0.0,3,4,4,2.3371838473867323,3,5,5,4.1658946092803255,160943061.00728974
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_O3,-O3,same_B,completed,,0,0,0.0,3,4,4,2.3371838473867323,3,5,5,4.1658946092803255,179039221.39632437
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_Os,-Os,same_B,completed,,0,0,0.0,3,4,4,2.3371838473867323,3,5,5,4.1658946092803255,152528678.05406108
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_O2,-O2,same_B,completed,,0,0,0.0,3,4,4,2.3371838473867323,3,5,5,4.1658946092803255,3947701754385.965
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_O3,-O3,same_B,completed,,0,0,0.0,3,4,4,2.3371838473867323,3,5,5,4.1658946092803255,4245641509433.9624
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_Os,-Os,same_B,completed,,0,0,0.0,3,4,4,2.3371838473867323,3,5,5,4.1658946092803255,193920878.34431407
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_O2,-O2,same_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,171471789.5571067
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_O3,-O3,same_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,181683930.5654576
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_Os,-Os,same_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,152388195.44946322
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_O2,-O2,same_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,4500380000000.0
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_O3,-O3,same_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,4500380000000.0
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_Os,-Os,same_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,193821325.6086983
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_O2,-O2,same_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,169094788.03691515
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_O3,-O3,same_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,182918482.14866358
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_Os,-Os,same_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,167327368.05863845
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_O2,-O2,same_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,4245641509433.9624
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_O3,-O3,same_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,4500380000000.0
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_Os,-Os,same_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,220883616.92394984
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_O2,-O2,same_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,176471649.28240922
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_O3,-O3,same_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,190924957.55460206
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_Os,-Os,same_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,168238756.24486917
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_O2,-O2,same_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,4787638297872.341
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_O3,-O3,same_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,4592224489795.918
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_Os,-Os,same_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,235162990.76984817
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_O2,-O2,same_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,177468036.7619629
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_O3,-O3,same_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,188446760.32936037
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_Os,-Os,same_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,168816203.18653065
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_O2,-O2,same_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,4787638297872.341
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_O3,-O3,same_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,5233000000000.0
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_Os,-Os,same_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,237416159.60615456
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_O2,-O2,same_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,173940501.91125146
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_O3,-O3,same_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,192565873.36225855
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_Os,-Os,same_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,164269987.41433132
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_O2,-O2,same_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,3947701754385.965
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_O3,-O3,same_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,5000422222222.223
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_Os,-Os,same_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,228090003.81131554
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_O2,-O2,A_to_B,completed,,0,0,0.0,3,4,4,2.379409332730081,3,5,5,4.223934037474453,168867385.75585037
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_O3,-O3,A_to_B,completed,,0,0,0.0,3,4,4,2.379409332730081,3,5,5,4.223934037474453,188100355.18707716
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_Os,-Os,A_to_B,completed,,0,0,0.0,3,4,4,2.379409332730081,3,5,5,4.223934037474453,162119887.98101413
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_O2,-O2,A_to_B,completed,,0,0,0.0,3,4,4,2.379409332730081,3,5,5,4.223934037474453,4687895833333.333
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_O3,-O3,A_to_B,completed,,0,0,0.0,3,4,4,2.379409332730081,3,5,5,4.223934037474453,4412137254901.961
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_Os,-Os,A_to_B,completed,,0,0,0.0,3,4,4,2.379409332730081,3,5,5,4.223934037474453,204387882.72941056
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_O2,-O2,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,177344533.20555097
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_O3,-O3,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,189862213.8596151
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_Os,-Os,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,163468286.19790342
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_O2,-O2,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,4245641509433.9624
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_O3,-O3,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,4787638297872.341
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_Os,-Os,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,201681071.45449966
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_O2,-O2,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,178663503.3986869
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_O3,-O3,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,193245232.3985634
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_Os,-Os,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,165016034.53750646
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_O2,-O2,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,3879637931034.4824
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_O3,-O3,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,4687895833333.333
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_Os,-Os,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,230551072.9965523
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_O2,-O2,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,179806624.31579366
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_O3,-O3,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,192685422.6518982
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_Os,-Os,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,164241091.40303332
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_O2,-O2,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,4787638297872.341
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_O3,-O3,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,5000422222222.223
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_Os,-Os,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,239388281.6032341
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_O2,-O2,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,179887695.60135776
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_O3,-O3,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,192868083.3702609
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_Os,-Os,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,170981495.2854884
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_O2,-O2,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,5114068181818.183
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_O3,-O3,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,5000422222222.223
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_Os,-Os,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,246593191.7533049
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_O2,-O2,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,175512394.41870913
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_O3,-O3,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,191084008.72288534
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_Os,-Os,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,170018390.65869385
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_O2,-O2,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,4412137254901.961
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_O3,-O3,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,5000422222222.223
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_Os,-Os,A_to_B,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,235503621.21656132
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_O2,-O2,B_to_A,completed,,0,0,0.0,3,4,4,2.3371838473867323,3,5,5,4.1658946092803255,155934237.341774
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_O3,-O3,B_to_A,completed,,0,0,0.0,3,4,4,2.3371838473867323,3,5,5,4.1658946092803255,166784952.1144682
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_Os,-Os,B_to_A,completed,,0,0,0.0,3,4,4,2.3371838473867323,3,5,5,4.1658946092803255,146653175.52389517
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_O2,-O2,B_to_A,completed,,0,0,0.0,3,4,4,2.3371838473867323,3,5,5,4.1658946092803255,6279511627906.977
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_O3,-O3,B_to_A,completed,,0,0,0.0,3,4,4,2.3371838473867323,3,5,5,4.1658946092803255,5625395833333.333
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_Os,-Os,B_to_A,completed,,0,0,0.0,3,4,4,2.3371838473867323,3,5,5,4.1658946092803255,192738275.5563677
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_O2,-O2,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,165956994.34925467
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_O3,-O3,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,173907582.99638426
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_Os,-Os,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,148549080.18830296
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_O2,-O2,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,5294490196078.432
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_O3,-O3,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,5745085106382.9795
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_Os,-Os,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,190094787.26370063
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_O2,-O2,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,164956030.0931936
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_O3,-O3,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,175375162.7789162
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_Os,-Os,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,153286631.50783694
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_O2,-O2,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,5745085106382.9795
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_O3,-O3,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,5510591836734.693
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_Os,-Os,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,220142609.76190397
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_O2,-O2,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,164670231.42467538
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_O3,-O3,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,174597693.7914196
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_Os,-Os,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,153032869.71414906
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_O2,-O2,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,5869978260869.565
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_O3,-O3,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,5745085106382.9795
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_Os,-Os,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,1,1,1.0,218148341.7449185
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_O2,-O2,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,164218962.6713991
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_O3,-O3,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,168682278.05004513
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_Os,-Os,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,146755039.59389758
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_O2,-O2,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,5745085106382.9795
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_O3,-O3,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,5294490196078.432
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_Os,-Os,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,231465424.49914834
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_O2,-O2,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,159092623.0995661
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_O3,-O3,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,173844546.2686894
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_Os,-Os,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,154083320.1135343
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_O2,-O2,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,5192673076923.077
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_O3,-O3,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,6000422222222.223
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_Os,-Os,B_to_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.684140573081584,232856700.5837393
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_O2,-O2,uniform,completed,,0,0,0.0,3,4,4,2.3608500080246726,3,5,5,4.198586790087577,152226465.4712656
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_O3,-O3,uniform,completed,,0,0,0.0,3,4,4,2.3608500080246726,3,5,5,4.198586790087577,166192742.93515122
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_Os,-Os,uniform,completed,,0,0,0.0,3,4,4,2.3608500080246726,3,5,5,4.198586790087577,147156776.8829701
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_O2,-O2,uniform,completed,,0,0,0.0,3,4,4,2.3608500080246726,3,5,5,4.198586790087577,5400380000000.0
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_O3,-O3,uniform,completed,,0,0,0.0,3,4,4,2.3608500080246726,3,5,5,4.198586790087577,5510591836734.693
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_Os,-Os,uniform,completed,,0,0,0.0,3,4,4,2.3608500080246726,3,5,5,4.198586790087577,190194273.3012092
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_O2,-O2,uniform,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.650727208845358,165559032.05058637
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_O3,-O3,uniform,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.650727208845358,175619029.77963966
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_Os,-Os,uniform,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.650727208845358,147547576.64693856
